data structure,input size,index,time
linkedList,100000,0,5721
Array,100000,0,125
linkedList,100000,0,5737
Array,100000,0,86
linkedList,100000,0,95
Array,100000,0,60
linkedList,100000,0,52
Array,100000,0,47
linkedList,100000,0,58
Array,100000,0,48
linkedList,100000,0,60
Array,100000,0,54
linkedList,100000,49999,142149
Array,100000,49999,352
linkedList,100000,49999,117406
Array,100000,49999,74
linkedList,100000,49999,107856
Array,100000,49999,76
linkedList,100000,49999,106643
Array,100000,49999,74
linkedList,100000,49999,106715
Array,100000,49999,75
linkedList,100000,99999,245790
Array,100000,99999,193
linkedList,100000,99999,231167
Array,100000,99999,73
linkedList,100000,99999,222501
Array,100000,99999,73
linkedList,100000,99999,222902
Array,100000,99999,73
linkedList,100000,99999,221442
Array,100000,99999,75
linkedList,5000,0,7336
Array,5000,0,133
linkedList,5000,0,111
Array,5000,0,69
linkedList,5000,0,56
Array,5000,0,69
linkedList,5000,0,48
Array,5000,0,48
linkedList,5000,0,49
Array,5000,0,46
linkedList,5000,2499,6834
Array,5000,2499,387
linkedList,5000,2499,5337
Array,5000,2499,52
linkedList,5000,2499,5225
Array,5000,2499,51
linkedList,5000,2499,5234
Array,5000,2499,59
linkedList,5000,2499,5201
Array,5000,2499,50
linkedList,5000,4999,12103
Array,5000,4999,189
linkedList,5000,4999,10852
Array,5000,4999,74
linkedList,5000,4999,10630
Array,5000,4999,64
linkedList,5000,4999,10635
Array,5000,4999,52
linkedList,5000,4999,10525
Array,5000,4999,53
linkedList,1,0,7374
Array,1,0,60
linkedList,1,0,102
Array,1,0,52
linkedList,1,0,56
Array,1,0,44
linkedList,1,0,48
Array,1,0,44
linkedList,1,0,48
Array,1,0,52
linkedList,1,3,40274
Array,1,3,50
linkedList,1,3,16047
Array,1,3,48
linkedList,1,3,21527
Array,1,3,44
linkedList,1,3,396
Array,1,3,45
linkedList,1,3,177
Array,1,3,45
